task,best_classical,best_classical_name,best_model_nmse,best_model,best_model_role,best_zeroshot_nmse,best_zeroshot_model,improvement,improvement_pct,prior_helped
denois,0.141976,laplacian,0.206584,FM_train-source-sensor-pde_val-denois,zeroshot,0.206584,FM_train-source-sensor-pde_val-denois,-0.064608,-45.51,NO
inpaint,0.922906,pinv,0.907281,FM_train-inpaint-source-sensor_val-pde,train,0.910936,FM_train-source-sensor-pde_val-denois,0.01197,1.3,marginal
source,0.330502,laplacian,0.329941,ORIGINAL_paper_path_pl32,unseen,0.329941,ORIGINAL_paper_path_pl32,0.000561,0.17,marginal
sensor,0.922067,pinv,0.906231,FM_train-inpaint-source-sensor_val-pde,train,0.909001,FM_train-denois-inpaint-pde_val-source,0.013065,1.42,marginal
pde,0.103811,laplacian,0.220758,ORIGINAL_paper_path_pl32,unseen,0.220758,ORIGINAL_paper_path_pl32,-0.116947,-112.65,NO

# best_classical = min over pinv / adjoint / mean / oracle tikhonov / oracle
#        laplacian -- the strongest thing a non-learned method achieves. The
"#        tikhonov/laplacian lambdas are chosen per task ON THE TEST nMSE, so this"
#        is a deliberate ceiling for classical regularization.
"# The verdict compares the best ZERO-SHOT model (no gradients, no selection on"
#        the task; the ORIGINAL model counts) against best_classical:
#        'yes' = beat it by more than 5%; 'marginal' = beat it by less; 'NO' =
"#        did not beat it, meaning zero-shot transfer added nothing a textbook"
#        method would not supply.
"# If most tasks read NO, cross-model similarity is not evidence of transfer --"
# the models have collapsed onto solutions classical methods already reach.
